date,ticker,price
2024-01-01,AAPL,150.3025864848217
2024-01-02,AAPL,150.45781199926174
2024-01-03,AAPL,152.50622170892078
2024-01-04,AAPL,154.03778551513196
2024-01-05,AAPL,154.9445292583974
2024-01-06,AAPL,154.37006706822564
2024-01-07,AAPL,155.05359480124355
2024-01-08,AAPL,155.32662182971796
2024-01-09,AAPL,155.6107992976162
2024-01-10,AAPL,155.0189204489652
2024-01-11,AAPL,154.10316552207766
2024-01-12,AAPL,153.07883309843805
2024-01-13,AAPL,152.34259226269592
2024-01-14,AAPL,150.80265063353167
2024-01-15,AAPL,151.58741910970963
2024-01-16,AAPL,152.43166641038664
2024-01-17,AAPL,152.42251493988599
2024-01-18,AAPL,153.0915638077259
2024-01-19,AAPL,153.6468194712524
2024-01-20,AAPL,155.00911261632535
